state,details,fill_var
Arkansas,"<b>Restrictive:</b><br><a href=""https://arkleg.state.ar.us/Bills/Detail?id=hb1925&ddBienniumSession=2025%2F2025R""><b>AR H.B. 1925</b> (2025)</a><br><a href=""https://arkleg.state.ar.us/Bills/Detail?id=sb299&ddBienniumSession=2025%2F2025R""><b>AR S.B. 299</b> (2025)</a><br><a href=""https://arkleg.state.ar.us/Bills/Detail?id=sb479&ddBienniumSession=2025%2F2025R""><b>AR S.B. 479</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://arkleg.state.ar.us/Bills/Detail?id=hb1878&ddBienniumSession=2025%2F2025R""><b>AR H.B. 1878</b> (2025)</a><br><a href=""https://arkleg.state.ar.us/Bills/Detail?id=sb296&ddBienniumSession=2025%2F2025R""><b>AR S.B. 296</b> (2025)</a><br><a href=""https://arkleg.state.ar.us/Bills/Detail?id=sb304&ddBienniumSession=2025%2F2025R""><b>AR S.B. 304</b> (2025)</a><br>",Mixed
California,"<b>Expansive:</b><br><a href=""https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB930""><b>CA A.B. 930</b> (2025)</a><br><a href=""https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB1249""><b>CA A.B. 1249</b> (2025)</a><br>",Expansive Only
Colorado,"<b>Expansive:</b><br><a href=""https://leg.colorado.gov/bills/sb25-001""><b>CO S.B. 1</b> (2025)</a><br><a href=""https://leg.colorado.gov/bills/HB26-1113""><b>CO H.B. 1113</b> (2026)</a><br>",Expansive Only
Connecticut,"<b>Expansive:</b><br><a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB07287&which_year=2025""><b>CT H.B. 7287</b> (2025)</a><br><a href=""https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05001&which_year=2026""><b>CT H.B. 5001</b> (2026)</a><br>",Expansive Only
Delaware,"<b>Expansive:</b><br><a href=""https://legis.delaware.gov/BillDetail?LegislationId=143415"">DE H.B. 444 (2026)</a><br><a href=""https://legis.delaware.gov/BillDetail?LegislationId=143031""><b>DE S.B. 266</b> (2026)</a><br>",Expansive Only
Florida,"<b>Restrictive:</b><br><a href=""https://www.flsenate.gov/Session/Bill/2025C/2C""><b>FL S.B. 2</b> (2025)</a><br><a href=""https://www.flsenate.gov/Session/Bill/2026/991"">FL H.B. 991 (2026)</a><br>",Restrictive or Election Interference Only
Hawaii,"<b>Expansive:</b><br><a href=""https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=408&year=2025""><b>HI H.B. 408</b> (2025)</a><br><a href=""https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=2239&year=2026"">HI S.B. 2239 (2026)</a><br>",Expansive Only
Idaho,"<b>Restrictive:</b><br><a href=""https://legislature.idaho.gov/sessioninfo/2025/legislation/H0278/""><b>ID H.B. 278</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://legislature.idaho.gov/sessioninfo/2025/legislation/H0278/""><b>ID H.B. 278</b> (2025)</a><br>",Mixed
Illinois,"<b>Expansive:</b><br><a href=""https://www.ilga.gov/Legislation/BillStatus?DocNum=4339&GAID=18&DocTypeID=HB&LegId=164865&SessionID=114""><b>IL H.B. 4339</b> (2026)</a><br>",Expansive Only
Indiana,"<b>Restrictive:</b><br><a href=""https://iga.in.gov/legislative/2025/bills/house/1679/details""><b>IN H.B. 1679</b> (2025)</a><br><a href=""https://iga.in.gov/legislative/2025/bills/house/1680/details""><b>IN H.B. 1680</b> (2025)</a><br><a href=""https://iga.in.gov/legislative/2025/bills/senate/10/details""><b>IN S.B. 10</b> (2025)</a><br><b>Election Interference:</b><br><a href=""https://iga.in.gov/legislative/2025/bills/house/1679/details""><b>IN H.B. 1679</b> (2025)</a><br><a href=""https://iga.in.gov/legislative/2025/bills/senate/526/details""><b>IN S.B. 526</b> (2025)</a><br>",Restrictive or Election Interference Only
Iowa,"<b>Restrictive:</b><br><a href=""https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF2501""><b>IA H.F. 2501</b> (2026)</a><br><b>Expansive:</b><br><a href=""https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF397""><b>IA H.F. 397</b> (2025)</a><br><b>Election Interference:</b><br><a href=""https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF2501""><b>IA H.F. 2501</b> (2026)</a><br><a href=""https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF928""><b>IA H.F. 928</b> (2025)</a><br>",Mixed
Kansas,"<b>Restrictive:</b><br><a href=""https://kslegislature.gov/li/b2025_26/measures/hb2020/""><b>KS H.B. 2020</b> (2025)</a><br><a href=""https://kslegislature.gov/li/b2025_26/measures/sb4/"">KS S.B. 4 (2025)</a><br><a href=""https://kslegislature.gov/li/b2025_26/measures/hb2437/""><b>KS H.B. 2437</b> (2026)</a><br><a href=""https://kslegislature.gov/li/b2025_26/measures/sb244/""><b>KS S.B. 244</b> (2026)</a><br><b>Election Interference:</b><br><a href=""https://kslegislature.gov/li/b2025_26/measures/sb5/""><b>KS S.B. 5</b> (2025)</a><br>",Restrictive or Election Interference Only
Kentucky,"<b>Restrictive:</b><br><a href=""https://apps.legislature.ky.gov/record/25RS/hb684.html""><b>KY H.B. 684</b> (2025)</a><br><a href=""https://apps.legislature.ky.gov/record/26RS/hb139.html"">KY H.B. 139 (2026)</a><br><b>Expansive:</b><br><a href=""https://apps.legislature.ky.gov/record/25RS/hb684.html""><b>KY H.B. 684</b> (2025)</a><br>",Mixed
Louisiana,"<b>Restrictive:</b><br><a href=""https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB319&sbi=y"">LA S.B. 319 (2026)</a><br><b>Expansive:</b><br><a href=""https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB842&sbi=y""><b>LA H.B. 842</b> (2026)</a><br><a href=""https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB1057&sbi=y"">LA H.B. 1057 (2026)</a><br><b>Election Interference:</b><br><a href=""https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB502&sbi=y""><b>LA H.B. 502</b> (2025)</a><br>",Mixed
Maine,"<b>Expansive:</b><br><a href=""https://legislature.maine.gov/legis/bills/display_ps.asp?LD=1977&snum=132""><b>ME L.D. 1977</b> (2025)</a><br>",Expansive Only
